account_id,first_name,last_name,password,balance_checking,balance_savings,active_status,overdraft_attempts
10001,suresh,sigera,juagw362,1000,10000,active,0
10002,james,taylor,idh36%@#FGd,,10500,active,0
10003,melvin,gordon,uYWE732g4ga1,8000,20000,active,0
10004,stacey,abrams,DEU8_qw3y72$,5000,20000,active,0
10005,jake,paul,d^dg23g)@,100500,100000,active,0
10192,Jumana,Khawaji,1234JA@,100,500,active,0
10192,Jumana,Khawaji,100,500,active,0
10551,Jumana,Khawaji,1234JA@,100,500,active,0
10551,Jumana,Khawaji,100,500,active,0
10343,Jumana,Khawaji,1234JA@,100,500,active,0
10343,Jumana,Khawaji,100,500,active,0
10425,Jumana,Khawaji,1234JA@,100,500,active,0
10214,Jumana,Khawaji,1234JA@,100,500,active,0
10214,Jumana,Khawaji,100,500,active,0
10448,Jumana,Khawaji,1234JA@,100,500,active,0
10725,Jumana,Khawaji,1234JA@,100,500,active,0
10314,Jumana,Khawaji,1234JA@,100,500,active,0
